,comment_text,target
0,hit     man ,0
1,thrown every suspenseful cliché in the book ,0
2,these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field     ,1
3,cast the magnificent jackie chan ,1
4,though a touch too arthouse 101 in its poetic symbolism     heaven proves to be a good match of the sensibilities of two directors     ,1
5,like one of     spears           music videos in content            except that it goes on for at least 90 more minutes and     worse     that you have to pay if you want to see it     ,0
6,where santa gives gifts to grownups ,1
7,smart     funny and just honest enough to provide the pleasures of a slightly naughty     just     above     average off       broadway play ,1
8,brightly ,1
9,          a sour little movie at its core     an exploration of the emptiness that underlay the relentless gaiety of the 1920      s           the film      s ending has a            what was it all for     ,0
10,hard to say who might enjoy this ,0
11,the darker elements of misogyny and unprovoked violence ,0
12,comedian runs out of steam after a half hour     ,0
13,is nothing short of a travesty of a transvestite comedy ,0
14,a rich and full life ,1
15,does n     t always jell with sean penn      s monotone narration ,0
16,of his spiritual survival ,1
17,all the hallmarks of a movie ,1
18,terrorism ,0
19,    the heart of the film rests in the relationship between sullivan and his son     ,1
20,do n     t bother ,0
21,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading     ,0
22,the graphic carnage and re     creation of war     torn croatia is uncomfortably timely     relevant     and sickeningly real     ,1
23,twohy      s a good yarn     spinner ,1
24,and mind     numbing indifference ,0
25,the author      s devotees will probably find it fascinating     ,1
26,    it does n     t even seem like she tried     ,0
27,could be intriguing ,1
28,the border collie is funny ,1
29,if you love the music     and i do ,1
30,cheapo animation ,0
31,put hairs on your chest ,1
32,way too much indulgence of scene     chewing     teeth     gnashing actorliness ,0
33,sports     movie triumph ,1
34,     s hardly any fun to watch ,0
35,emerges as another key contribution to the flowering of the south korean cinema ,1
36,sensual     ,1
37,controversy ,0
38,i love the opening scenes of a wintry new york city in 1899     ,1
39,in which laughter and self     exploitation merge into jolly soft     porn      em powerment ,1
40,be low     very low     very very low     ,0
41,is half as moving as the filmmakers seem to think     ,0
42,jarring     new     agey tone ,1
43,promises ,1
44,candy and cheeky wit to keep parents away from the concession stand ,1
45,with the terrifying message ,0
46,a stylish cast and ,1
47,aspired ,1
48,it sounds like another clever if pointless excursion into the abyss     and that      s more or less how it plays out     ,0
49,sometimes funny ,1
50,of softheaded metaphysical claptrap ,1
51,though the story           is hackneyed     the characters have a freshness and modesty that transcends their predicament     ,1
52,a movie comes along to remind us of how very bad a motion picture can truly be     ,0
53,in an increasingly important film industry and worth the look ,1
54,a young woman of great charm     generosity and diplomacy ,1
55,well     done film ,1
56,the margin that gives viewers a chance to learn     to grow     to travel ,1
57,in just such a dungpile that you      d swear you ,0
58,the most enchanting film ,1
59,an undeniably moving film ,1
60,a charmer ,1
61,the last 15 minutes ,1
62,2002      s first great film ,1
63,an iconoclastic artist ,1
64,at 90 minutes this movie is short     but it feels much longer     ,0
65,is just as obvious as telling a country skunk that he has severe body odor ,0
66,     s more enjoyable than i expected     though ,1
67,is wasted in this crass     low     wattage endeavor ,0
68,we have a bad     bad     bad movie ,0
69,looks like a drag queen ,0
70,slickly ,1
71,is generally quite funny ,1
72,involve a dentist drill ,0
73,sinks further and further into comedy futility     ,0
74,turning in some delightful work on indie projects ,1
75,          strips bible stores of the potential for sanctimoniousness     making them meaningful for both kids and church     wary adults     ,1
76,made a film that      s barely shocking     barely interesting and most of all     barely anything ,0
77,life     embracing ,1
78,perfectly acceptable     occasionally very enjoyable children      s ,1
79,a reworking of die hard and cliffhanger but it      s nowhere near as exciting as either     ,0
80,marvelously ,1
81,but the film itself is ultimately quite unengaging     ,0
82,     s a bargain     basement european pickup ,0
83,the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol      s most intense psychological mysteries ,1
84,animated filmmaking since old walt ,1
85,covers huge     heavy topics in a bland     surfacey way that does n     t offer any insight into why     for instance     good things happen to bad people     ,0
86,appropriately cynical social commentary aside ,1
87,consistently amusing but not as outrageous or funny ,1
88,sex toys and offers ,0
89,no obvious escape ,0
90,disappointing in comparison to other recent war movies           or any other john woo flick for that matter ,0
91,brought down by lousy direction ,0
92,sub     par ,0
93,unimpressively fussy ,0
94,a smart     romantic drama that dares to depict the french revolution from the aristocrats       perspective ,1
95,appreciation ,1
96,sit open     mouthed before the screen     not screaming but yawning ,0
97,collateral damage paints an absurdly simplistic picture     ,0
98,a smart     compelling drama     ,1
99,is that they      re stuck with a script that prevents them from firing on all cylinders     ,0
100,becomes more and more frustrating as the film goes on ,0
101,is sentimental but feels free to offend     is analytical and then surrenders to the illogic of its characters     is about grief and yet permits laughter     ,1
102,in the tradition ,1
103,true events ,1
104,meaty subject ,1
105,    charismatic and tragically ,1
106,are side stories aplenty ,1
107,glaring triteness ,0
108,able to provide insight into a fascinating part of theater history ,1
109,north or south vietnamese ,1
110,saves this deeply affecting film from being merely ,1
111,inconsistent ,0
112,that zings all the way through with originality     humor and pathos ,1
113,are intriguing and realistic ,1
114,the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities     ,0
115,but what is missing from it all is a moral     ,0
116,lot to be desired ,0
117,of the world      s greatest teacher ,1
118,yet unforgivingly inconsistent ,0
119,mr    wollter and ms    seldhal give strong and convincing performances     but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion     grief and fear     ,0
120,dramatized ,1
121,the piano teacher is not an easy film     ,0
122,     s something vital about the movie ,1
123,in welcome perspective ,1
124,shrieky special effects ,0
125,faster     livelier and ,1
126,at every opportunity to do something clever     the film goes right over the edge and kills every sense of believability           ,0
127,infused frida with a visual style unique and inherent to the titular character      s paintings and in the process created a masterful work of art of their own ,1
128,it would be better to wait for the video     ,0
129,represents adam sandler      s latest attempt to dumb down the universe     ,0
130,metaphysical claptrap ,0
131,      it      s better to go in knowing full well what      s going to happen     but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists     ,1
132,actor michel serrault ,1
133,some success ,1
134,    a formula comedy redeemed by its stars     ,1
135,dead     on in election ,1
136,make paid in full worth seeing     ,1
137,not once does it come close to being exciting     ,0
138,even by the intentionally low standards of frat     boy humor ,0
139,riveting and surprisingly romantic ride ,1
140,that ends up slapping its target audience in the face by shooting itself in the foot ,0
141,wan ,0
142,paints a grand picture of an era ,1
143,     s lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay ,0
144,godard      s ode to tackling life      s wonderment is a rambling and incoherent manifesto about the vagueness of topical excess           ,0
145,an uncomfortable movie     suffocating and sometimes almost senseless     ,0
146,a bit cold and ,0
147,has never been more charming than in about a boy ,1
148,even felinni would know what to make of this italian freakshow     ,0
149,mention mysterious     sensual     emotionally intense     and replete ,1
150,leaves little doubt that kidman has become one of our best actors     ,1
151,is a pan     american movie     with moments of genuine insight into the urban heart     ,1
152,with little visible talent and no energy ,0
153,impenetrable and insufferable ball ,0
154,good fun ,1
155,is that van wilder does little that is actually funny with the material     ,0
156,fun about this silly     outrageous     ingenious thriller ,1
157,will not notice the glaring triteness of the plot device ,0
158,goodies ,1
159,argentine american beauty reeks ,0
160,bears more than a whiff of exploitation     ,0
161,significantly better ,1
162,in which the talent is undeniable ,1
163,future     world ,1
164,unremittingly ugly movie ,0
165,the worst film of the year     ,0
166,making            die another day            one of the most entertaining bonds in years ,1
167,     s a minor treat ,1
168,this gutter romancer      s ,0
169,take on courtroom movies     a few nifty twists that are so crucial to the genre and another first     rate performance by top     billed star bruce willis ,1
